,pokemonId,days,latitude,longitude,temperature,windSpeed,population_density,windBearing,seconds,date
550,93.0,2016-09-06,38.508573142857145,-82.66847757142855,27.057142857142857,11.26857142857143,1278.6591215714286,152.28571428571428,13:55:57,2016-09-06T13:55:57
551,93.0,2016-09-07,36.359670599999994,-89.235725,25.54,6.854000000000001,1417.7480454,178.6,7:57:46,2016-09-07T7:57:46
552,93.0,2016-09-08,44.478351,-73.21538199999998,22.7,4.28,591.0899,162.0,1:18:01,2016-09-08T1:18:01
553,94.0,2016-09-04,32.938245,-92.668241,22.9,6.595000000000001,1508.6238950000002,183.5,11:33:49,2016-09-04T11:33:49
554,95.0,2016-09-03,37.310283366666674,-93.25727016666666,25.780000000000005,10.573666666666668,533.9535937666668,115.66666666666667,14:03:26,2016-09-03T14:03:26
555,95.0,2016-09-04,34.665935499999996,-104.230527,24.238888888888894,7.067222222222222,1200.0998825000001,180.94444444444446,7:49:00,2016-09-04T7:49:00
556,95.0,2016-09-05,34.71904807142857,-109.64465342857144,23.97857142857143,5.774285714285715,558.2396809999999,215.92857142857142,11:48:03,2016-09-05T11:48:03
557,95.0,2016-09-06,34.498154125,-112.86734568749999,21.14375,5.601875000000001,1100.4707849999995,199.5625,11:03:06,2016-09-06T11:03:06
558,95.0,2016-09-07,36.325083375000006,-102.909702625,24.6625,6.932500000000001,1134.03270125,305.375,7:26:25,2016-09-07T7:26:25
559,95.0,2016-09-08,35.1590645,-97.91638099999999,24.71666666666667,7.3933333333333335,938.7013516666666,240.16666666666666,2:06:02,2016-09-08T2:06:02
560,96.0,2016-09-02,42.634248,-92.7267105,22.345,6.9505,530.0561012000001,115.95,22:55:46,2016-09-02T22:55:46
561,96.0,2016-09-03,41.5030019953271,-87.86078517757008,20.448130841121483,6.7276635514018714,1186.0299409953252,128.42990654205607,10:26:10,2016-09-03T10:26:10
562,96.0,2016-09-04,42.15099575618373,-89.72674912720844,20.290812720848052,6.524982332155462,1078.2480938021197,164.62190812720848,11:32:10,2016-09-04T11:32:10
563,96.0,2016-09-05,41.70170881526105,-88.10645618473895,22.057831325301205,7.5646184738955835,1124.8004841004004,164.26506024096386,13:55:26,2016-09-05T13:55:26
564,96.0,2016-09-06,41.793712843621385,-86.24662446502067,22.39218106995886,8.840288065843621,1308.906534613168,176.89300411522635,12:05:23,2016-09-06T12:05:23
565,96.0,2016-09-07,42.21898064978902,-83.14586283966243,23.32784810126577,7.33084388185653,1774.9627378312252,175.39662447257385,6:22:16,2016-09-07T6:22:16
566,96.0,2016-09-08,42.214749716981125,-78.65794228301888,22.90943396226415,6.556792452830187,2276.9263880000003,149.56603773584905,1:22:45,2016-09-08T1:22:45
567,97.0,2016-09-03,42.6152462,-83.3173544,17.98,4.904,2184.6093840000003,180.8,8:34:49,2016-09-03T8:34:49
568,97.0,2016-09-04,42.175794571428575,-78.32434657142858,22.614285714285717,5.895714285714285,579.6769400000001,112.28571428571429,16:23:20,2016-09-04T16:23:20
569,97.0,2016-09-05,41.879891833333325,-82.72261516666667,19.71666666666667,9.945,1618.6110356666668,199.16666666666666,12:48:14,2016-09-05T12:48:14
570,97.0,2016-09-06,42.06091833333334,-82.99119716666667,22.150000000000002,8.558333333333334,565.3278863333334,163.16666666666666,14:36:51,2016-09-06T14:36:51
571,97.0,2016-09-07,42.126367800000004,-85.11058560000001,23.36,6.675999999999999,2515.56052,210.8,2:45:18,2016-09-07T2:45:18
572,97.0,2016-09-08,42.364051,-71.059759,20.4,5.25,5597.982,68.0,1:33:53,2016-09-08T1:33:53
573,98.0,2016-09-02,38.87299807142858,-92.97535549999998,24.0,8.51,1422.2436669285714,120.64285714285714,22:33:18,2016-09-02T22:33:18
574,98.0,2016-09-03,37.09292848756219,-88.82705233830849,22.646766169154237,6.878358208955221,1113.9803165621884,108.56218905472637,10:58:02,2016-09-03T10:58:02
575,98.0,2016-09-04,37.25061467338711,-89.68069316935484,23.316935483870928,6.532500000000002,1295.819693487904,140.75806451612902,13:30:58,2016-09-04T13:30:58
576,98.0,2016-09-05,36.912745272151895,-86.94909904430375,24.537658227848123,6.6742405063291095,1323.3814222563308,172.1993670886076,12:55:00,2016-09-05T12:55:00
577,98.0,2016-09-06,35.30441682291669,-89.41676842708331,25.297569444444477,6.904062499999998,1024.7922539340282,172.82986111111111,12:16:13,2016-09-06T12:16:13
578,98.0,2016-09-07,37.249670525139635,-88.23485375418996,25.656983240223465,7.42743016759776,1362.36773477095,190.18435754189943,6:26:27,2016-09-07T6:26:27
579,98.0,2016-09-08,36.143385625,-90.55300962500002,26.142500000000005,7.120000000000003,669.9358937499999,166.175,1:42:51,2016-09-08T1:42:51
580,99.0,2016-09-03,38.2831805,-89.32098458333333,22.825000000000003,6.2225,1487.3774420833336,108.58333333333333,11:31:14,2016-09-03T11:31:14
581,99.0,2016-09-04,35.92025110000001,-82.63079300000001,23.23,6.426,669.4378967,144.5,9:52:16,2016-09-04T9:52:16
582,99.0,2016-09-05,37.74590300000001,-79.16529519999997,26.28,7.406000000000001,1639.9706232,223.3,17:55:37,2016-09-05T17:55:37
583,99.0,2016-09-06,35.17688130769231,-91.71017238461539,24.692307692307693,5.858461538461537,552.7886077692308,194.3846153846154,11:24:29,2016-09-06T11:24:29
584,99.0,2016-09-07,38.0149334,-85.8627292,26.18,6.840000000000001,667.9600314,222.8,8:07:02,2016-09-07T8:07:02
585,99.0,2016-09-08,34.051288,-84.26142,25.7,3.0,761.8856,240.0,0:58:17,2016-09-08T0:58:17
586,100.0,2016-09-03,39.78295167391305,-82.44603532608694,20.349999999999998,10.545434782608694,1194.7900423695658,99.5,14:21:25,2016-09-03T14:21:25
587,100.0,2016-09-04,39.512247565656565,-77.32618251515156,22.279797979798015,11.273131313131312,321.08351456565646,70.77777777777777,13:20:25,2016-09-04T13:20:25
588,100.0,2016-09-05,36.02820848529412,-89.11881555882351,23.595588235294112,8.140441176470588,1456.3425802941188,129.36764705882354,12:06:37,2016-09-05T12:06:37
589,100.0,2016-09-06,31.696878776859517,-81.81523622314049,25.344628099173576,8.27603305785123,1402.682590380165,122.02479338842976,12:02:43,2016-09-06T12:02:43
590,100.0,2016-09-07,32.545468625,-94.41297895833334,27.46666666666665,10.998958333333327,1343.5916958333335,188.29166666666666,6:59:12,2016-09-07T6:59:12
591,100.0,2016-09-08,36.265754625,-89.054742,26.987499999999997,10.53625,1933.89698,204.625,1:42:15,2016-09-08T1:42:15
592,101.0,2016-09-04,39.4015185,-74.46790766666665,23.8,10.186666666666666,197.02996666666664,48.333333333333336,16:21:17,2016-09-04T16:21:17
593,101.0,2016-09-05,25.787132,-80.134004,29.7,4.82,0.0,96.0,11:54:50,2016-09-05T11:54:50
594,101.0,2016-09-06,32.265232600000004,-77.80286620000001,27.22,8.592,1324.1096320000001,133.2,17:10:48,2016-09-06T17:10:48
595,101.0,2016-09-07,41.891651,-87.602861,31.8,17.23,5020.9673,202.0,20:47:56,2016-09-07T20:47:56
596,101.0,2016-09-08,33.704273,-78.864848,26.0,7.55,511.28308,222.0,2:28:24,2016-09-08T2:28:24
597,102.0,2016-09-02,37.746652812499995,-83.4712155625,26.96875,6.611250000000001,1051.5136590624998,82.0625,22:32:54,2016-09-02T22:32:54
